description,founded,franchising_since,industry,initial_investment,name,parent_company,ranking,ranking_last_year,units
New and used children's and maternity clothing and products,1992,1994,Children's Businesses,$347K - $542K,Kid to Kid,Kid to Kid Franchise System Inc.,#313,Ranked #395 last year,"[{""year"":""2013"",""us"":""84"",""fgn"":16,""com"":""1"",""total"":101},{""year"":""2014"",""us"":""86"",""fgn"":20,""com"":""1"",""total"":107},{""year"":""2015"",""us"":""89"",""fgn"":23,""com"":""1"",""total"":113},{""year"":""2016"",""us"":""94"",""fgn"":24,""com"":""1"",""total"":119},{""year"":""2017"",""us"":""96"",""fgn"":24,""com"":""1"",""total"":121},{""year"":""2018"",""us"":""94"",""fgn"":24,""com"":""2"",""total"":120},{""year"":""2019"",""us"":""86"",""fgn"":24,""com"":""4"",""total"":114},{""year"":""2020"",""us"":""79"",""fgn"":23,""com"":""10"",""total"":112},{""year"":""2021"",""us"":""76"",""fgn"":20,""com"":""12"",""total"":108},{""year"":""2022"",""us"":""76"",""fgn"":22,""com"":""12"",""total"":110}]"
"Packing, shipping, crating, freight, mailboxes, business services",1983,1984,Services (Other),$196K - $276K,Pak Mail,Annex Brands Inc.,#312,Ranked #355 last year,"[{""year"":""2013"",""us"":""239"",""fgn"":158,""com"":""1"",""total"":398},{""year"":""2014"",""us"":""230"",""fgn"":161,""com"":""1"",""total"":392},{""year"":""2015"",""us"":""220"",""fgn"":159,""com"":""1"",""total"":380},{""year"":""2016"",""us"":""218"",""fgn"":166,""com"":""1"",""total"":385},{""year"":""2017"",""us"":""215"",""fgn"":167,""com"":""1"",""total"":383},{""year"":""2018"",""us"":""206"",""fgn"":176,""com"":""1"",""total"":383},{""year"":""2019"",""us"":""199"",""fgn"":176,""com"":""1"",""total"":376},{""year"":""2020"",""us"":""187"",""fgn"":164,""com"":""1"",""total"":352},{""year"":""2021"",""us"":""185"",""fgn"":152,""com"":""1"",""total"":338},{""year"":""2022"",""us"":""178"",""fgn"":150,""com"":""0"",""total"":328}]"
Franchise/business coaching and development,1984,1997,Business Services,$114K - $126K,The Entrepreneur's Source,Franchise Source Brands Int'l.,#311,Ranked #316 last year,"[{""year"":""2013"",""us"":""162"",""fgn"":5,""com"":""0"",""total"":167},{""year"":""2014"",""us"":""157"",""fgn"":4,""com"":""1"",""total"":162},{""year"":""2015"",""us"":""161"",""fgn"":3,""com"":""0"",""total"":164},{""year"":""2016"",""us"":""96"",""fgn"":1,""com"":""0"",""total"":97},{""year"":""2017"",""us"":""106"",""fgn"":2,""com"":""0"",""total"":108},{""year"":""2018"",""us"":""106"",""fgn"":2,""com"":""0"",""total"":108},{""year"":""2019"",""us"":""119"",""fgn"":2,""com"":""0"",""total"":121},{""year"":""2020"",""us"":""122"",""fgn"":2,""com"":""0"",""total"":124},{""year"":""2021"",""us"":""130"",""fgn"":1,""com"":""0"",""total"":131},{""year"":""2022"",""us"":""148"",""fgn"":1,""com"":""0"",""total"":149}]"
Wholesale real estate,,2020,Services (Other),$125K - $274K,KeyGlee,,#310,Not ranked last year,"[{""year"":""2019"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2020"",""us"":""2"",""fgn"":0,""com"":""6"",""total"":8},{""year"":""2021"",""us"":""65"",""fgn"":0,""com"":""10"",""total"":75},{""year"":""2022"",""us"":""123"",""fgn"":0,""com"":""9"",""total"":132}]"
Auto repair,1970,1971,Automotive,$224K - $719K,Tuffy Tire and Auto Service,T.A.C./Gimex,#309,Ranked #277 last year,"[{""year"":""2013"",""us"":""172"",""fgn"":0,""com"":""27"",""total"":199},{""year"":""2014"",""us"":""166"",""fgn"":0,""com"":""28"",""total"":194},{""year"":""2015"",""us"":""167"",""fgn"":0,""com"":""23"",""total"":190},{""year"":""2016"",""us"":""162"",""fgn"":0,""com"":""19"",""total"":181},{""year"":""2017"",""us"":""161"",""fgn"":0,""com"":""17"",""total"":178},{""year"":""2018"",""us"":""153"",""fgn"":0,""com"":""22"",""total"":175},{""year"":""2019"",""us"":""151"",""fgn"":0,""com"":""20"",""total"":171},{""year"":""2020"",""us"":""147"",""fgn"":0,""com"":""21"",""total"":168},{""year"":""2021"",""us"":""144"",""fgn"":0,""com"":""21"",""total"":165},{""year"":""2022"",""us"":""117"",""fgn"":0,""com"":""46"",""total"":163}]"
Salon suites,1997,2011,Personal-Care Businesses,$1M - $1.6M,Salons by JC,JN'C Real Estate Investments,#308,Ranked #373 last year,"[{""year"":""2013"",""us"":""4"",""fgn"":0,""com"":""10"",""total"":14},{""year"":""2014"",""us"":""7"",""fgn"":0,""com"":""9"",""total"":16},{""year"":""2015"",""us"":""44"",""fgn"":0,""com"":""10"",""total"":54},{""year"":""2016"",""us"":""58"",""fgn"":1,""com"":""10"",""total"":69},{""year"":""2017"",""us"":""71"",""fgn"":1,""com"":""10"",""total"":82},{""year"":""2018"",""us"":""80"",""fgn"":1,""com"":""10"",""total"":91},{""year"":""2019"",""us"":""86"",""fgn"":1,""com"":""10"",""total"":97},{""year"":""2020"",""us"":""97"",""fgn"":1,""com"":""10"",""total"":108},{""year"":""2021"",""us"":""105"",""fgn"":1,""com"":""10"",""total"":116},{""year"":""2022"",""us"":""121"",""fgn"":1,""com"":""12"",""total"":134}]"
"Youth sports leagues, camps, and clinics",2002,2003,Children's Businesses,$60K - $70K,i9 Sports,"Brian Sanders, CEO & Chairman",#307,Ranked #455 last year,"[{""year"":""2013"",""us"":""117"",""fgn"":0,""com"":""1"",""total"":118},{""year"":""2014"",""us"":""123"",""fgn"":0,""com"":""8"",""total"":131},{""year"":""2015"",""us"":""128"",""fgn"":0,""com"":""10"",""total"":138},{""year"":""2016"",""us"":""128"",""fgn"":0,""com"":""16"",""total"":144},{""year"":""2017"",""us"":""128"",""fgn"":0,""com"":""1"",""total"":129},{""year"":""2018"",""us"":""136"",""fgn"":0,""com"":""1"",""total"":137},{""year"":""2019"",""us"":""146"",""fgn"":0,""com"":""1"",""total"":147},{""year"":""2020"",""us"":""154"",""fgn"":0,""com"":""1"",""total"":155},{""year"":""2021"",""us"":""171"",""fgn"":0,""com"":""1"",""total"":172},{""year"":""2022"",""us"":""201"",""fgn"":0,""com"":""1"",""total"":202}]"
"Burgers, chicken sandwiches, tacos, salads, bowls, sides",,1982,Food,$1.7M - $2.7M,Jack in the Box,"2,208",#306,Ranked #328 last year,"[{""year"":""2013"",""us"":""1703"",""fgn"":0,""com"":""547"",""total"":2250},{""year"":""2014"",""us"":""1786"",""fgn"":0,""com"":""465"",""total"":2251},{""year"":""2015"",""us"":""1818"",""fgn"":0,""com"":""431"",""total"":2249},{""year"":""2016"",""us"":""1818"",""fgn"":0,""com"":""436"",""total"":2254},{""year"":""2017"",""us"":""1858"",""fgn"":0,""com"":""394"",""total"":2252},{""year"":""2018"",""us"":""2085"",""fgn"":0,""com"":""157"",""total"":2242},{""year"":""2019"",""us"":""2105"",""fgn"":0,""com"":""138"",""total"":2243},{""year"":""2020"",""us"":""2097"",""fgn"":0,""com"":""144"",""total"":2241},{""year"":""2021"",""us"":""2056"",""fgn"":0,""com"":""165"",""total"":2221},{""year"":""2022"",""us"":""2036"",""fgn"":0,""com"":""172"",""total"":2208}]"
Cost reduction consulting,,2018,Financial Services,$69K - $79K,P3 Cost Analysts,,#305,Not ranked last year,"[{""year"":""2017"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2018"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2019"",""us"":""2"",""fgn"":0,""com"":""1"",""total"":3},{""year"":""2020"",""us"":""10"",""fgn"":0,""com"":""1"",""total"":11},{""year"":""2021"",""us"":""30"",""fgn"":0,""com"":""1"",""total"":31},{""year"":""2022"",""us"":""38"",""fgn"":0,""com"":""1"",""total"":39}]"
Environmentally friendly residential cleaning,,2009,Maintenance,$121K - $136K,ecomaids,,#304,Ranked #213 last year,"[{""year"":""2013"",""us"":""27"",""fgn"":0,""com"":""0"",""total"":27},{""year"":""2014"",""us"":""7"",""fgn"":0,""com"":""0"",""total"":7},{""year"":""2015"",""us"":""6"",""fgn"":0,""com"":""0"",""total"":6},{""year"":""2016"",""us"":""5"",""fgn"":0,""com"":""1"",""total"":6},{""year"":""2017"",""us"":""5"",""fgn"":0,""com"":""1"",""total"":6},{""year"":""2018"",""us"":""2"",""fgn"":0,""com"":""0"",""total"":2},{""year"":""2019"",""us"":""1"",""fgn"":0,""com"":""0"",""total"":1},{""year"":""2020"",""us"":""19"",""fgn"":0,""com"":""1"",""total"":20},{""year"":""2021"",""us"":""67"",""fgn"":0,""com"":""1"",""total"":68},{""year"":""2022"",""us"":""81"",""fgn"":0,""com"":""1"",""total"":82}]"
Lawn and landscape maintenance,2010,2010,Maintenance,$83K - $202K,The Grounds Guys,Neighborly,#303,Ranked #400 last year,"[{""year"":""2013"",""us"":""141"",""fgn"":40,""com"":""0"",""total"":181},{""year"":""2014"",""us"":""153"",""fgn"":40,""com"":""0"",""total"":193},{""year"":""2015"",""us"":""154"",""fgn"":42,""com"":""0"",""total"":196},{""year"":""2016"",""us"":""173"",""fgn"":40,""com"":""0"",""total"":213},{""year"":""2017"",""us"":""172"",""fgn"":37,""com"":""0"",""total"":209},{""year"":""2018"",""us"":""165"",""fgn"":29,""com"":""0"",""total"":194},{""year"":""2019"",""us"":""162"",""fgn"":31,""com"":""0"",""total"":193},{""year"":""2020"",""us"":""160"",""fgn"":28,""com"":""0"",""total"":188},{""year"":""2021"",""us"":""183"",""fgn"":28,""com"":""0"",""total"":211},{""year"":""2022"",""us"":""222"",""fgn"":29,""com"":""0"",""total"":251}]"
Residential cleaning,2003,2013,Maintenance,$93K - $150K,Two Maids,Home Franchise Concepts,#302,Ranked #300 last year,"[{""year"":""2013"",""us"":""1"",""fgn"":0,""com"":""12"",""total"":13},{""year"":""2014"",""us"":""1"",""fgn"":0,""com"":""10"",""total"":11},{""year"":""2015"",""us"":""13"",""fgn"":0,""com"":""0"",""total"":13},{""year"":""2016"",""us"":""29"",""fgn"":0,""com"":""1"",""total"":30},{""year"":""2017"",""us"":""47"",""fgn"":0,""com"":""1"",""total"":48},{""year"":""2018"",""us"":""59"",""fgn"":0,""com"":""2"",""total"":61},{""year"":""2019"",""us"":""77"",""fgn"":0,""com"":""1"",""total"":78},{""year"":""2020"",""us"":""77"",""fgn"":0,""com"":""2"",""total"":79},{""year"":""2021"",""us"":""88"",""fgn"":0,""com"":""2"",""total"":90},{""year"":""2022"",""us"":""106"",""fgn"":0,""com"":""1"",""total"":107}]"
Iced tea,,2018,Food,$235K - $1.6M,HTeaO,,#301,Ranked #423 last year,"[{""year"":""2018"",""us"":""0"",""fgn"":0,""com"":""4"",""total"":4},{""year"":""2019"",""us"":""2"",""fgn"":0,""com"":""4"",""total"":6},{""year"":""2020"",""us"":""18"",""fgn"":0,""com"":""4"",""total"":22},{""year"":""2021"",""us"":""31"",""fgn"":0,""com"":""4"",""total"":35},{""year"":""2022"",""us"":""56"",""fgn"":0,""com"":""4"",""total"":60},{""year"":""2023"",""us"":""75"",""fgn"":0,""com"":""5"",""total"":80}]"
Staffing,1978,1995,Business Services,$161K - $235K,PrideStaff,"Mike Aprile, Co-CEO",#284,Ranked #305 last year,"[{""year"":""2013"",""us"":""44"",""fgn"":0,""com"":""3"",""total"":47},{""year"":""2014"",""us"":""55"",""fgn"":0,""com"":""3"",""total"":58},{""year"":""2015"",""us"":""68"",""fgn"":0,""com"":""3"",""total"":71},{""year"":""2016"",""us"":""66"",""fgn"":0,""com"":""3"",""total"":69},{""year"":""2017"",""us"":""72"",""fgn"":0,""com"":""3"",""total"":75},{""year"":""2018"",""us"":""78"",""fgn"":0,""com"":""2"",""total"":80},{""year"":""2019"",""us"":""77"",""fgn"":0,""com"":""2"",""total"":79},{""year"":""2020"",""us"":""77"",""fgn"":0,""com"":""3"",""total"":80},{""year"":""2021"",""us"":""80"",""fgn"":0,""com"":""3"",""total"":83},{""year"":""2022"",""us"":""82"",""fgn"":0,""com"":""3"",""total"":85}]"
Bathroom remodeling,1978,1991,Home Improvement,$220K - $570K,Re-Bath,Home Brands Group LLC,#283,Ranked #435 last year,"[{""year"":""2013"",""us"":""138"",""fgn"":15,""com"":""0"",""total"":153},{""year"":""2014"",""us"":""137"",""fgn"":12,""com"":""0"",""total"":149},{""year"":""2015"",""us"":""144"",""fgn"":12,""com"":""0"",""total"":156},{""year"":""2016"",""us"":""117"",""fgn"":0,""com"":""0"",""total"":117},{""year"":""2017"",""us"":""114"",""fgn"":0,""com"":""0"",""total"":114},{""year"":""2018"",""us"":""96"",""fgn"":0,""com"":""1"",""total"":97},{""year"":""2019"",""us"":""89"",""fgn"":0,""com"":""3"",""total"":92},{""year"":""2020"",""us"":""92"",""fgn"":0,""com"":""0"",""total"":92},{""year"":""2021"",""us"":""106"",""fgn"":0,""com"":""0"",""total"":106},{""year"":""2022"",""us"":""112"",""fgn"":0,""com"":""0"",""total"":112}]"
Environmentally friendly junk removal,2006,2012,Services (Other),$98K - $359K,The Junkluggers,AB Assetco LLC,#282,Ranked #382 last year,"[{""year"":""2013"",""us"":""5"",""fgn"":0,""com"":""3"",""total"":8},{""year"":""2014"",""us"":""5"",""fgn"":0,""com"":""3"",""total"":8},{""year"":""2015"",""us"":""7"",""fgn"":0,""com"":""3"",""total"":10},{""year"":""2016"",""us"":""11"",""fgn"":0,""com"":""1"",""total"":12},{""year"":""2017"",""us"":""15"",""fgn"":0,""com"":""1"",""total"":16},{""year"":""2018"",""us"":""23"",""fgn"":0,""com"":""1"",""total"":24},{""year"":""2019"",""us"":""21"",""fgn"":0,""com"":""1"",""total"":22},{""year"":""2020"",""us"":""31"",""fgn"":0,""com"":""1"",""total"":32},{""year"":""2021"",""us"":""76"",""fgn"":0,""com"":""1"",""total"":77},{""year"":""2022"",""us"":""104"",""fgn"":0,""com"":""1"",""total"":105},{""year"":""2023"",""us"":""113"",""fgn"":0,""com"":""4"",""total"":117}]"
Custom pull-out shelving for cabinets and pantries,2000,2008,Home Improvement,$42K - $136K,ShelfGenie,Neighborly,#281,Ranked #303 last year,"[{""year"":""2013"",""us"":""107"",""fgn"":4,""com"":""22"",""total"":133},{""year"":""2014"",""us"":""122"",""fgn"":10,""com"":""40"",""total"":172},{""year"":""2015"",""us"":""119"",""fgn"":13,""com"":""41"",""total"":173},{""year"":""2016"",""us"":""119"",""fgn"":13,""com"":""46"",""total"":178},{""year"":""2017"",""us"":""101"",""fgn"":11,""com"":""50"",""total"":162},{""year"":""2018"",""us"":""117"",""fgn"":7,""com"":""34"",""total"":158},{""year"":""2019"",""us"":""136"",""fgn"":7,""com"":""46"",""total"":189},{""year"":""2020"",""us"":""143"",""fgn"":8,""com"":""21"",""total"":172},{""year"":""2021"",""us"":""178"",""fgn"":8,""com"":""18"",""total"":204},{""year"":""2022"",""us"":""226"",""fgn"":18,""com"":""12"",""total"":256}]"
"Youth sports, school, and event photography",1983,1984,Services (Other),$20K - $75K,TSS Photography,Candid Color Systems,#280,Ranked #365 last year,"[{""year"":""2013"",""us"":""228"",""fgn"":0,""com"":""1"",""total"":229},{""year"":""2014"",""us"":""200"",""fgn"":0,""com"":""0"",""total"":200},{""year"":""2015"",""us"":""181"",""fgn"":0,""com"":""0"",""total"":181},{""year"":""2016"",""us"":""177"",""fgn"":0,""com"":""0"",""total"":177},{""year"":""2017"",""us"":""187"",""fgn"":0,""com"":""0"",""total"":187},{""year"":""2018"",""us"":""177"",""fgn"":0,""com"":""0"",""total"":177},{""year"":""2019"",""us"":""179"",""fgn"":0,""com"":""0"",""total"":179},{""year"":""2020"",""us"":""177"",""fgn"":0,""com"":""0"",""total"":177},{""year"":""2021"",""us"":""176"",""fgn"":0,""com"":""0"",""total"":176},{""year"":""2022"",""us"":""173"",""fgn"":0,""com"":""0"",""total"":173}]"
"Pizza, Italian food",1964,2006,Food,$142K - $1.2M,Rosati's Pizza,Rosati's Pizza Enterprises Inc.,#279,Ranked #163 last year,"[{""year"":""2013"",""us"":""100"",""fgn"":0,""com"":""13"",""total"":113},{""year"":""2014"",""us"":""109"",""fgn"":0,""com"":""16"",""total"":125},{""year"":""2015"",""us"":""109"",""fgn"":0,""com"":""17"",""total"":126},{""year"":""2016"",""us"":""115"",""fgn"":0,""com"":""16"",""total"":131},{""year"":""2017"",""us"":""128"",""fgn"":0,""com"":""14"",""total"":142},{""year"":""2018"",""us"":""131"",""fgn"":0,""com"":""13"",""total"":144},{""year"":""2019"",""us"":""137"",""fgn"":0,""com"":""11"",""total"":148},{""year"":""2020"",""us"":""142"",""fgn"":0,""com"":""10"",""total"":152},{""year"":""2021"",""us"":""151"",""fgn"":0,""com"":""8"",""total"":159},{""year"":""2022"",""us"":""123"",""fgn"":0,""com"":""1"",""total"":124}]"
Low-rise commercial and residential window cleaning,1978,1998,Maintenance,$103K - $168K,Fish Window Cleaning,"Randy Cross, President",#278,Ranked #295 last year,"[{""year"":""2013"",""us"":""245"",""fgn"":0,""com"":""1"",""total"":246},{""year"":""2014"",""us"":""255"",""fgn"":0,""com"":""1"",""total"":256},{""year"":""2015"",""us"":""258"",""fgn"":0,""com"":""1"",""total"":259},{""year"":""2016"",""us"":""264"",""fgn"":0,""com"":""1"",""total"":265},{""year"":""2017"",""us"":""271"",""fgn"":0,""com"":""1"",""total"":272},{""year"":""2018"",""us"":""274"",""fgn"":0,""com"":""1"",""total"":275},{""year"":""2019"",""us"":""278"",""fgn"":0,""com"":""1"",""total"":279},{""year"":""2020"",""us"":""279"",""fgn"":0,""com"":""1"",""total"":280},{""year"":""2021"",""us"":""276"",""fgn"":0,""com"":""1"",""total"":277},{""year"":""2022"",""us"":""270"",""fgn"":0,""com"":""1"",""total"":271}]"
Asian food,2003,2005,Food,$346K - $769K,Teriyaki Madness,M.H. Franchise Co. Inc.,#277,Ranked #252 last year,"[{""year"":""2013"",""us"":""6"",""fgn"":0,""com"":""2"",""total"":8},{""year"":""2014"",""us"":""13"",""fgn"":0,""com"":""2"",""total"":15},{""year"":""2015"",""us"":""21"",""fgn"":0,""com"":""3"",""total"":24},{""year"":""2016"",""us"":""33"",""fgn"":0,""com"":""2"",""total"":35},{""year"":""2017"",""us"":""41"",""fgn"":0,""com"":""1"",""total"":42},{""year"":""2018"",""us"":""44"",""fgn"":0,""com"":""1"",""total"":45},{""year"":""2019"",""us"":""55"",""fgn"":0,""com"":""3"",""total"":58},{""year"":""2020"",""us"":""75"",""fgn"":2,""com"":""1"",""total"":78},{""year"":""2021"",""us"":""98"",""fgn"":3,""com"":""1"",""total"":102},{""year"":""2022"",""us"":""112"",""fgn"":4,""com"":""1"",""total"":117}]"
Health and fitness centers,,1980,Health & Wellness,$1.5M - $3.6M,Gold's Gym,596,#276,Ranked #449 last year,"[{""year"":""2013"",""us"":""331"",""fgn"":228,""com"":""101"",""total"":660},{""year"":""2014"",""us"":""317"",""fgn"":257,""com"":""147"",""total"":721},{""year"":""2015"",""us"":""273"",""fgn"":285,""com"":""150"",""total"":708},{""year"":""2016"",""us"":""255"",""fgn"":318,""com"":""150"",""total"":723},{""year"":""2017"",""us"":""220"",""fgn"":351,""com"":""148"",""total"":719},{""year"":""2018"",""us"":""192"",""fgn"":361,""com"":""150"",""total"":703},{""year"":""2019"",""us"":""182"",""fgn"":399,""com"":""140"",""total"":721},{""year"":""2020"",""us"":""182"",""fgn"":399,""com"":""61"",""total"":642},{""year"":""2021"",""us"":""173"",""fgn"":369,""com"":""61"",""total"":603},{""year"":""2022"",""us"":""164"",""fgn"":365,""com"":""67"",""total"":596}]"
"Subs, wraps, salads, desserts, breakfast, catering",1972,1985,Food,$240K - $443K,Port of Subs,Port of Subs Inc.,#275,Ranked #281 last year,"[{""year"":""2016"",""us"":""104"",""fgn"":0,""com"":""31"",""total"":135},{""year"":""2017"",""us"":""104"",""fgn"":0,""com"":""27"",""total"":131},{""year"":""2018"",""us"":""104"",""fgn"":0,""com"":""27"",""total"":131},{""year"":""2019"",""us"":""108"",""fgn"":0,""com"":""28"",""total"":136},{""year"":""2020"",""us"":""114"",""fgn"":0,""com"":""19"",""total"":133},{""year"":""2021"",""us"":""113"",""fgn"":0,""com"":""16"",""total"":129},{""year"":""2022"",""us"":""114"",""fgn"":0,""com"":""16"",""total"":130}]"
Family camping resorts,1969,1969,Lodging,$108K - $11.3M,Yogi Bear's Jellystone Park Camp-Resorts,Sun Communities,#274,Ranked #348 last year,"[{""year"":""2013"",""us"":""76"",""fgn"":4,""com"":""0"",""total"":80},{""year"":""2014"",""us"":""78"",""fgn"":4,""com"":""0"",""total"":82},{""year"":""2015"",""us"":""76"",""fgn"":4,""com"":""0"",""total"":80},{""year"":""2016"",""us"":""79"",""fgn"":5,""com"":""0"",""total"":84},{""year"":""2017"",""us"":""74"",""fgn"":5,""com"":""0"",""total"":79},{""year"":""2018"",""us"":""78"",""fgn"":6,""com"":""0"",""total"":84},{""year"":""2019"",""us"":""75"",""fgn"":6,""com"":""0"",""total"":81},{""year"":""2020"",""us"":""73"",""fgn"":5,""com"":""0"",""total"":78},{""year"":""2021"",""us"":""70"",""fgn"":5,""com"":""0"",""total"":75},{""year"":""2022"",""us"":""77"",""fgn"":5,""com"":""0"",""total"":82}]"
"Pizza, chicken, salad bar, buffet",,1984,Food,$1.1M - $3.9M,Pizza Ranch,211,#273,Not ranked last year,"[{""year"":""2013"",""us"":""170"",""fgn"":0,""com"":""4"",""total"":174},{""year"":""2014"",""us"":""181"",""fgn"":0,""com"":""7"",""total"":188},{""year"":""2015"",""us"":""183"",""fgn"":0,""com"":""7"",""total"":190},{""year"":""2016"",""us"":""187"",""fgn"":0,""com"":""7"",""total"":194},{""year"":""2017"",""us"":""193"",""fgn"":0,""com"":""7"",""total"":200},{""year"":""2018"",""us"":""199"",""fgn"":0,""com"":""8"",""total"":207},{""year"":""2019"",""us"":""200"",""fgn"":0,""com"":""8"",""total"":208},{""year"":""2020"",""us"":""204"",""fgn"":0,""com"":""7"",""total"":211},{""year"":""2021"",""us"":""207"",""fgn"":0,""com"":""6"",""total"":213},{""year"":""2022"",""us"":""205"",""fgn"":0,""com"":""6"",""total"":211}]"
